sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,n,all_internal_marginal_r2,gas_mass_marginal_r2,dominant_internal_feature,dominant_candidate_feature,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,sfr_rank
full_sample,9.6,10.7,10.149999999999999,1.0999999999999996,3428,0.14636485672227645,0.03446366910192994,int_log_mgas,int_log_gas_fraction,1,0.010768175693659066,1,3
full_sample,9.6,10.75,10.175,1.1500000000000004,3525,0.14949597611429932,0.0353369690812248,int_log_mgas,int_log_gas_fraction,1,0.010450653257745024,1,3
full_sample,9.6,10.8,10.2,1.200000000000001,3605,0.14578631502018188,0.0333560849327596,int_log_mgas,int_log_gas_fraction,1,0.007631133800453549,1,3
full_sample,9.6,10.9,10.25,1.3000000000000007,3718,0.1449958247465294,0.03088270907294513,int_log_mstar,int_log_gas_fraction,2,0.0071693919075923596,1,4
full_sample,9.6,11.0,10.3,1.4000000000000004,3794,0.14218830353138054,0.030903714526960085,int_log_mstar,int_log_gas_fraction,2,0.007613710886398339,1,4
full_sample,9.7,10.1,9.899999999999999,0.40000000000000036,1448,0.1238700844946285,0.08308321730435525,int_log_mgas,int_log_gas_fraction,1,0.061658468029388874,1,4
full_sample,9.7,10.2,9.95,0.5,1744,0.13152655686161627,0.08029398788207784,int_log_mgas,int_log_gas_fraction,1,0.0508805771770634,1,2
full_sample,9.7,10.3,10.0,0.6000000000000014,1990,0.14358217137185464,0.07499861997565482,int_log_mgas,int_log_gas_fraction,1,0.04015187829793926,1,4
full_sample,9.7,10.4,10.05,0.7000000000000011,2235,0.15159473320458508,0.06991099585045493,int_log_mgas,int_log_gas_fraction,1,0.033621767706180916,1,3
full_sample,9.7,10.5,10.1,0.8000000000000007,2501,0.15338585832174323,0.056792772778208406,int_log_mgas,int_log_gas_fraction,1,0.023360460434999397,1,2
full_sample,9.7,10.55,10.125,0.8500000000000014,2649,0.15169551755306052,0.054680939573174436,int_log_mgas,int_log_gas_fraction,1,0.021089470243166153,1,3
full_sample,9.7,10.6,10.149999999999999,0.9000000000000004,2782,0.15405550656864983,0.04352889096299725,int_log_mgas,int_log_gas_fraction,1,0.016437218332047865,1,3
full_sample,9.7,10.7,10.2,1.0,2970,0.15570952976441074,0.036222686467971416,int_log_mgas,int_log_gas_fraction,1,0.010502034870951416,1,3
full_sample,9.7,10.75,10.225,1.0500000000000007,3067,0.15508551024964254,0.033609059098378274,int_log_mgas,int_log_gas_fraction,1,0.009278134840997876,1,3
full_sample,9.7,10.8,10.25,1.1000000000000014,3147,0.14929723018739413,0.0287526080349636,int_log_mstar,int_log_mstar,2,0.00503120957628761,2,6
full_sample,9.7,10.9,10.3,1.200000000000001,3260,0.1556359466576901,0.031639650996395985,int_log_mstar,int_log_mstar,2,0.007019265922670215,2,4
full_sample,9.7,11.0,10.35,1.3000000000000007,3336,0.14723729018123105,0.029583534213796142,int_log_mstar,int_log_mstar,2,0.006536730970756077,2,4
full_sample,9.7,11.2,10.45,1.5,3424,0.14358338588154385,0.028482948747224096,int_log_mstar,int_log_mstar,2,0.006754775518703626,2,4
full_sample,9.8,10.3,10.05,0.5,1562,0.13454155820568395,0.0690704290092592,int_log_mgas,int_log_gas_fraction,1,0.033225657732714686,1,3
full_sample,9.8,10.4,10.100000000000001,0.5999999999999996,1807,0.14632263955980165,0.06378736882536754,int_log_mgas,int_log_gas_fraction,1,0.028208402135241173,1,3
full_sample,9.8,10.5,10.15,0.6999999999999993,2073,0.15125824529997162,0.0529328467062935,int_log_mgas,int_log_gas_fraction,1,0.016732183721508143,1,5
full_sample,9.8,10.55,10.175,0.75,2221,0.15448880709753196,0.05417517321392601,int_log_mgas,int_log_gas_fraction,1,0.013585154998764393,1,4
full_sample,9.8,10.6,10.2,0.7999999999999989,2354,0.1628941441898601,0.0431062457532273,int_log_mgas,int_log_gas_fraction,1,0.010858258593158476,1,4
full_sample,9.8,10.7,10.25,0.8999999999999986,2542,0.16281249506979045,0.03481140944410502,int_log_mgas,int_log_mstar,1,0.007444138050000215,2,5
full_sample,9.8,10.75,10.275,0.9499999999999993,2639,0.16178700528230175,0.0320565407606469,int_log_mstar,int_log_mstar,2,0.006165307785813423,2,4
full_sample,9.8,10.8,10.3,1.0,2719,0.1580036581521579,0.030544577979351478,int_log_mstar,int_log_mstar,2,0.0027901532481169333,2,6
full_sample,9.8,10.9,10.350000000000001,1.0999999999999996,2832,0.1496053290098734,0.02816988987002178,int_log_mstar,int_log_mstar,2,0.0029467199025928204,2,5
full_sample,9.8,11.0,10.4,1.1999999999999993,2908,0.14603770029940844,0.028007027857853,int_log_mstar,int_log_mstar,2,0.004727090126877331,2,4
full_sample,9.8,11.2,10.5,1.3999999999999986,2996,0.143121611095752,0.026523354742716387,int_log_mstar,int_log_mstar,2,0.004065555456789771,2,4
full_sample,9.9,10.3,10.100000000000001,0.40000000000000036,1211,0.108911720491947,0.05421275448588456,int_log_mgas,int_log_gas_fraction,1,0.025073120884632427,1,4
full_sample,9.9,10.4,10.15,0.5,1456,0.1390380607956703,0.05148868160259301,int_log_mgas,int_log_gas_fraction,1,0.020384354157535783,1,4
full_sample,9.9,10.5,10.2,0.5999999999999996,1722,0.14974992712300633,0.05028457637659817,int_log_mgas,int_log_gas_fraction,1,0.011118688187722159,1,5
full_sample,9.9,10.55,10.225000000000001,0.6500000000000004,1870,0.14851223059092206,0.04875995233472319,int_log_mgas,int_log_gas_fraction,1,0.009272934335816108,1,4
full_sample,9.9,10.6,10.25,0.6999999999999993,2003,0.16323946151743723,0.039670937646259175,int_log_mgas,int_log_gas_fraction,1,0.007705484391664075,1,5
full_sample,9.9,10.7,10.3,0.7999999999999989,2191,0.16485254820843437,0.033129929001538216,int_log_mstar,int_log_mstar,2,0.003292697579100945,2,5
full_sample,9.9,10.75,10.325,0.8499999999999996,2288,0.16035473542727988,0.03137055920434903,int_log_mstar,int_log_mstar,2,0.0029121942904373754,2,5
full_sample,9.9,10.8,10.350000000000001,0.9000000000000004,2368,0.15163046760729226,0.027981300722297903,int_log_mstar,int_log_mstar,3,0.00138680191871704,2,6
full_sample,9.9,10.9,10.4,1.0,2481,0.15512573591842066,0.027920960500097625,int_log_mstar,int_log_mstar,2,0.0010568109484594412,2,5
full_sample,9.9,11.0,10.45,1.0999999999999996,2557,0.14739258213675738,0.02629669434870993,int_log_mstar,int_log_mstar,3,0.0015964882370322897,2,5
